Adres => Niepoprawny adres IPv4! 
10.11.56.0/23 => Duplikacja prefix w pliku 
10.11.56.0/23 => Duplikacja prefix w pliku 
10.11.56.0/23 => Duplikacja prefix w pliku 
10.11.58.0/23 => Duplikacja prefix w pliku 
10.11.58.0/23 => Duplikacja prefix w pliku 
10.11.58.0/23 => Duplikacja prefix w pliku 
10.11.58.0/23 => Duplikacja prefix w pliku 
10.11.58.0/23 => Duplikacja prefix w pliku 
10.11.62.0/24 => Duplikacja prefix w pliku 
10.11.62.0/24 => Duplikacja prefix w pliku 
10.11.62.0/24 => Duplikacja prefix w pliku 
10.11.62.0/24 => Duplikacja prefix w pliku 
10.11.62.0/24 => Duplikacja prefix w pliku 
172.20.159.232/30 => Duplikacja prefix w pliku 
172.20.159.232/30 => Duplikacja prefix w pliku 
172.20.159.232/30 => Duplikacja prefix w pliku 
172.20.159.232/30 => Duplikacja prefix w pliku 
172.20.159.232/30 => Duplikacja prefix w pliku 
10.11.126.0/24 => Duplikacja prefix w pliku 
10.11.126.0/24 => Duplikacja prefix w pliku 
10.11.126.0/24 => Duplikacja prefix w pliku 
10.11.126.0/24 => Duplikacja prefix w pliku 
10.11.126.0/24 => Duplikacja prefix w pliku 
10.11.131.0/26 => Duplikacja prefix w pliku 
10.11.131.0/26 => Duplikacja prefix w pliku 
10.11.131.0/26 => Duplikacja prefix w pliku 
10.11.131.0/26 => Duplikacja prefix w pliku 
10.11.131.0/26 => Duplikacja prefix w pliku 
10.11.132.0/27 => Duplikacja prefix w pliku 
10.11.132.0/27 => Duplikacja prefix w pliku 
10.11.132.0/27 => Duplikacja prefix w pliku 
10.11.132.0/27 => Duplikacja prefix w pliku 
10.11.132.0/27 => Duplikacja prefix w pliku 
10.11.132.112/28 => Duplikacja prefix w pliku 
10.11.132.112/28 => Duplikacja prefix w pliku 
10.11.132.112/28 => Duplikacja prefix w pliku 
10.11.132.112/28 => Duplikacja prefix w pliku 
10.11.132.112/28 => Duplikacja prefix w pliku 
10.11.146.0/26 => Duplikacja prefix w pliku 
10.11.146.0/26 => Duplikacja prefix w pliku 
10.11.146.0/26 => Duplikacja prefix w pliku 
10.11.146.0/26 => Duplikacja prefix w pliku 
10.11.146.0/26 => Duplikacja prefix w pliku 
10.11.146.64/27 => Duplikacja prefix w pliku 
10.11.146.64/27 => Duplikacja prefix w pliku 
10.11.146.64/27 => Duplikacja prefix w pliku 
10.11.146.64/27 => Duplikacja prefix w pliku 
10.11.146.64/27 => Duplikacja prefix w pliku 
10.11.146.96/27 => Duplikacja prefix w pliku 
10.11.146.96/27 => Duplikacja prefix w pliku 
10.11.146.96/27 => Duplikacja prefix w pliku 
10.11.146.96/27 => Duplikacja prefix w pliku 
10.11.146.96/27 => Duplikacja prefix w pliku 
10.11.146.192/28 => Duplikacja prefix w pliku 
10.11.146.192/28 => Duplikacja prefix w pliku 
10.11.146.192/28 => Duplikacja prefix w pliku 
10.11.146.192/28 => Duplikacja prefix w pliku 
10.11.146.192/28 => Duplikacja prefix w pliku 
10.11.146.208/28 => Duplikacja prefix w pliku 
10.11.146.208/28 => Duplikacja prefix w pliku 
10.11.146.208/28 => Duplikacja prefix w pliku 
10.11.146.208/28 => Duplikacja prefix w pliku 
10.11.146.208/28 => Duplikacja prefix w pliku 
10.11.172.128/28 => Duplikacja prefix w pliku 
10.11.172.128/28 => Duplikacja prefix w pliku 
10.11.172.128/28 => Duplikacja prefix w pliku 
10.11.172.128/28 => Duplikacja prefix w pliku 
10.11.172.128/28 => Duplikacja prefix w pliku 
10.11.190.0/25 => Duplikacja prefix w pliku 
10.11.190.0/25 => Duplikacja prefix w pliku 
10.11.190.0/25 => Duplikacja prefix w pliku 
10.11.190.0/25 => Duplikacja prefix w pliku 
10.11.190.0/25 => Duplikacja prefix w pliku 
10.11.190.224/28 => Duplikacja prefix w pliku 
10.11.190.224/28 => Duplikacja prefix w pliku 
10.11.190.224/28 => Duplikacja prefix w pliku 
10.11.190.224/28 => Duplikacja prefix w pliku 
10.11.190.224/28 => Duplikacja prefix w pliku 
10.11.190.240/28 => Duplikacja prefix w pliku 
10.11.190.240/28 => Duplikacja prefix w pliku 
10.11.190.240/28 => Duplikacja prefix w pliku 
10.11.190.240/28 => Duplikacja prefix w pliku 
10.11.190.240/28 => Duplikacja prefix w pliku 
10.11.191.0/27 => Duplikacja prefix w pliku 
10.11.191.0/27 => Duplikacja prefix w pliku 
10.11.191.0/27 => Duplikacja prefix w pliku 
10.11.191.0/27 => Duplikacja prefix w pliku 
10.11.191.0/27 => Duplikacja prefix w pliku 
10.11.192.0/25 => Duplikacja prefix w pliku 
10.11.192.0/25 => Duplikacja prefix w pliku 
10.11.192.0/25 => Duplikacja prefix w pliku 
10.11.192.0/25 => Duplikacja prefix w pliku 
10.11.192.0/25 => Duplikacja prefix w pliku 
10.11.193.32/27 => Duplikacja prefix w pliku 
10.11.193.32/27 => Duplikacja prefix w pliku 
10.11.193.32/27 => Duplikacja prefix w pliku 
10.11.193.32/27 => Duplikacja prefix w pliku 
10.11.193.32/27 => Duplikacja prefix w pliku 
10.11.193.64/27 => Duplikacja prefix w pliku 
10.11.193.64/27 => Duplikacja prefix w pliku 
10.11.193.64/27 => Duplikacja prefix w pliku 
10.11.193.64/27 => Duplikacja prefix w pliku 
10.11.193.64/27 => Duplikacja prefix w pliku 
10.11.193.224/29 => Duplikacja prefix w pliku 
10.11.193.224/29 => Duplikacja prefix w pliku 
10.11.193.224/29 => Duplikacja prefix w pliku 
10.11.193.224/29 => Duplikacja prefix w pliku 
10.11.193.224/29 => Duplikacja prefix w pliku 
10.11.193.240/29 => Duplikacja prefix w pliku 
10.11.193.240/29 => Duplikacja prefix w pliku 
10.11.193.240/29 => Duplikacja prefix w pliku 
10.11.193.240/29 => Duplikacja prefix w pliku 
10.11.193.240/29 => Duplikacja prefix w pliku 
10.11.223.0/28 => Duplikacja prefix w pliku 
10.11.223.0/28 => Duplikacja prefix w pliku 
10.11.223.0/28 => Duplikacja prefix w pliku 
10.11.223.0/28 => Duplikacja prefix w pliku 
10.11.223.0/28 => Duplikacja prefix w pliku 
10.11.223.16/28 => Duplikacja prefix w pliku 
10.11.223.16/28 => Duplikacja prefix w pliku 
10.11.223.16/28 => Duplikacja prefix w pliku 
10.11.223.16/28 => Duplikacja prefix w pliku 
10.11.223.16/28 => Duplikacja prefix w pliku 
10.11.0.0/16 => Duplikacja prefix w pliku 
10.11.0.0/16 => Duplikacja prefix w pliku 
10.11.0.0/16 => Duplikacja prefix w pliku 
10.11.0.0/16 => Duplikacja prefix w pliku 
10.11.0.0/16 => Duplikacja prefix w pliku 
10.7.0.0/16 => Duplikacja prefix w pliku 
10.7.0.0/16 => Duplikacja prefix w pliku 
10.7.0.0/16 => Duplikacja prefix w pliku 
10.7.0.0/16 => Duplikacja prefix w pliku 
10.7.0.0/16 => Duplikacja prefix w pliku 
10.11.60.0/24 => Duplikacja prefix w pliku 
10.11.60.0/24 => Duplikacja prefix w pliku 
10.11.60.0/24 => Duplikacja prefix w pliku 
10.11.60.0/24 => Duplikacja prefix w pliku 
10.11.60.0/24 => Duplikacja prefix w pliku 
10.11.61.0/24 => Duplikacja prefix w pliku 
10.11.61.0/24 => Duplikacja prefix w pliku 
10.11.61.0/24 => Duplikacja prefix w pliku 
10.11.61.0/24 => Duplikacja prefix w pliku 
10.11.61.0/24 => Duplikacja prefix w pliku 
10.11.63.0/24 => Duplikacja prefix w pliku 
10.11.63.0/24 => Duplikacja prefix w pliku 
10.11.63.0/24 => Duplikacja prefix w pliku 
10.11.63.0/24 => Duplikacja prefix w pliku 
10.11.63.0/24 => Duplikacja prefix w pliku 
10.11.64.0/18 => Duplikacja prefix w pliku 
10.11.64.0/18 => Duplikacja prefix w pliku 
10.11.64.0/18 => Duplikacja prefix w pliku 
10.11.64.0/18 => Duplikacja prefix w pliku 
10.11.64.0/18 => Duplikacja prefix w pliku 
10.11.124.248/30 => Duplikacja prefix w pliku 
10.11.124.248/30 => Duplikacja prefix w pliku 
10.11.124.248/30 => Duplikacja prefix w pliku 
10.11.124.248/30 => Duplikacja prefix w pliku 
10.11.124.248/30 => Duplikacja prefix w pliku 
10.11.124.252/30 => Duplikacja prefix w pliku 
10.11.124.252/30 => Duplikacja prefix w pliku 
10.11.124.252/30 => Duplikacja prefix w pliku 
10.11.124.252/30 => Duplikacja prefix w pliku 
10.11.124.252/30 => Duplikacja prefix w pliku 
10.11.126.0/26 => Duplikacja prefix w pliku 
10.11.126.0/26 => Duplikacja prefix w pliku 
10.11.126.0/26 => Duplikacja prefix w pliku 
10.11.126.0/26 => Duplikacja prefix w pliku 
10.11.126.0/26 => Duplikacja prefix w pliku 
10.11.126.128/27 => Duplikacja prefix w pliku 
10.11.126.128/27 => Duplikacja prefix w pliku 
10.11.126.128/27 => Duplikacja prefix w pliku 
10.11.126.128/27 => Duplikacja prefix w pliku 
10.11.126.128/27 => Duplikacja prefix w pliku 
10.11.126.160/27 => Duplikacja prefix w pliku 
10.11.126.160/27 => Duplikacja prefix w pliku 
10.11.126.160/27 => Duplikacja prefix w pliku 
10.11.126.160/27 => Duplikacja prefix w pliku 
10.11.126.160/27 => Duplikacja prefix w pliku 
10.11.126.192/27 => Duplikacja prefix w pliku 
10.11.126.192/27 => Duplikacja prefix w pliku 
10.11.126.192/27 => Duplikacja prefix w pliku 
10.11.126.192/27 => Duplikacja prefix w pliku 
10.11.126.192/27 => Duplikacja prefix w pliku 
10.11.127.0/27 => Duplikacja prefix w pliku 
10.11.127.0/27 => Duplikacja prefix w pliku 
10.11.127.0/27 => Duplikacja prefix w pliku 
10.11.127.0/27 => Duplikacja prefix w pliku 
10.11.127.0/27 => Duplikacja prefix w pliku 
10.11.128.0/19 => Duplikacja prefix w pliku 
10.11.128.0/19 => Duplikacja prefix w pliku 
10.11.128.0/19 => Duplikacja prefix w pliku 
10.11.128.0/19 => Duplikacja prefix w pliku 
10.11.128.0/19 => Duplikacja prefix w pliku 
10.11.130.0/26 => Duplikacja prefix w pliku 
10.11.130.0/26 => Duplikacja prefix w pliku 
10.11.130.0/26 => Duplikacja prefix w pliku 
10.11.130.0/26 => Duplikacja prefix w pliku 
10.11.130.0/26 => Duplikacja prefix w pliku 
10.11.130.192/26 => Duplikacja prefix w pliku 
10.11.130.192/26 => Duplikacja prefix w pliku 
10.11.130.192/26 => Duplikacja prefix w pliku 
10.11.130.192/26 => Duplikacja prefix w pliku 
10.11.130.192/26 => Duplikacja prefix w pliku 
10.11.131.64/26 => Duplikacja prefix w pliku 
10.11.131.64/26 => Duplikacja prefix w pliku 
10.11.131.64/26 => Duplikacja prefix w pliku 
10.11.131.64/26 => Duplikacja prefix w pliku 
10.11.131.64/26 => Duplikacja prefix w pliku 
10.11.131.128/26 => Duplikacja prefix w pliku 
10.11.131.128/26 => Duplikacja prefix w pliku 
10.11.131.128/26 => Duplikacja prefix w pliku 
10.11.131.128/26 => Duplikacja prefix w pliku 
10.11.131.128/26 => Duplikacja prefix w pliku 
10.11.131.200/29 => Duplikacja prefix w pliku 
10.11.131.200/29 => Duplikacja prefix w pliku 
10.11.131.200/29 => Duplikacja prefix w pliku 
10.11.131.200/29 => Duplikacja prefix w pliku 
10.11.131.200/29 => Duplikacja prefix w pliku 
10.11.131.208/29 => Duplikacja prefix w pliku 
10.11.131.208/29 => Duplikacja prefix w pliku 
10.11.131.208/29 => Duplikacja prefix w pliku 
10.11.131.208/29 => Duplikacja prefix w pliku 
10.11.131.208/29 => Duplikacja prefix w pliku 
10.11.131.216/29 => Duplikacja prefix w pliku 
10.11.131.216/29 => Duplikacja prefix w pliku 
10.11.131.216/29 => Duplikacja prefix w pliku 
10.11.131.216/29 => Duplikacja prefix w pliku 
10.11.131.216/29 => Duplikacja prefix w pliku 
10.11.131.224/27 => Duplikacja prefix w pliku 
10.11.131.224/27 => Duplikacja prefix w pliku 
10.11.131.224/27 => Duplikacja prefix w pliku 
10.11.131.224/27 => Duplikacja prefix w pliku 
10.11.131.224/27 => Duplikacja prefix w pliku 
10.11.135.0/26 => Duplikacja prefix w pliku 
10.11.135.0/26 => Duplikacja prefix w pliku 
10.11.135.0/26 => Duplikacja prefix w pliku 
10.11.135.0/26 => Duplikacja prefix w pliku 
10.11.135.0/26 => Duplikacja prefix w pliku 
10.11.136.0/26 => Duplikacja prefix w pliku 
10.11.136.0/26 => Duplikacja prefix w pliku 
10.11.136.0/26 => Duplikacja prefix w pliku 
10.11.136.0/26 => Duplikacja prefix w pliku 
10.11.136.0/26 => Duplikacja prefix w pliku 
10.11.136.64/27 => Duplikacja prefix w pliku 
10.11.136.64/27 => Duplikacja prefix w pliku 
10.11.136.64/27 => Duplikacja prefix w pliku 
10.11.136.64/27 => Duplikacja prefix w pliku 
10.11.136.64/27 => Duplikacja prefix w pliku 
10.11.136.96/29 => Duplikacja prefix w pliku 
10.11.136.96/29 => Duplikacja prefix w pliku 
10.11.136.96/29 => Duplikacja prefix w pliku 
10.11.136.96/29 => Duplikacja prefix w pliku 
10.11.136.96/29 => Duplikacja prefix w pliku 
10.11.136.224/27 => Duplikacja prefix w pliku 
10.11.136.224/27 => Duplikacja prefix w pliku 
10.11.136.224/27 => Duplikacja prefix w pliku 
10.11.136.224/27 => Duplikacja prefix w pliku 
10.11.136.224/27 => Duplikacja prefix w pliku 
10.11.138.0/27 => Duplikacja prefix w pliku 
10.11.138.0/27 => Duplikacja prefix w pliku 
10.11.138.0/27 => Duplikacja prefix w pliku 
10.11.138.0/27 => Duplikacja prefix w pliku 
10.11.138.0/27 => Duplikacja prefix w pliku 
10.11.138.32/27 => Duplikacja prefix w pliku 
10.11.138.32/27 => Duplikacja prefix w pliku 
10.11.138.32/27 => Duplikacja prefix w pliku 
10.11.138.32/27 => Duplikacja prefix w pliku 
10.11.138.32/27 => Duplikacja prefix w pliku 
10.11.138.224/27 => Duplikacja prefix w pliku 
10.11.138.224/27 => Duplikacja prefix w pliku 
10.11.138.224/27 => Duplikacja prefix w pliku 
10.11.138.224/27 => Duplikacja prefix w pliku 
10.11.138.224/27 => Duplikacja prefix w pliku 
10.11.140.128/28 => Duplikacja prefix w pliku 
10.11.140.128/28 => Duplikacja prefix w pliku 
10.11.140.128/28 => Duplikacja prefix w pliku 
10.11.140.128/28 => Duplikacja prefix w pliku 
10.11.140.128/28 => Duplikacja prefix w pliku 
10.11.140.248/29 => Duplikacja prefix w pliku 
10.11.140.248/29 => Duplikacja prefix w pliku 
10.11.140.248/29 => Duplikacja prefix w pliku 
10.11.140.248/29 => Duplikacja prefix w pliku 
10.11.140.248/29 => Duplikacja prefix w pliku 
10.11.141.0/27 => Duplikacja prefix w pliku 
10.11.141.0/27 => Duplikacja prefix w pliku 
10.11.141.0/27 => Duplikacja prefix w pliku 
10.11.141.0/27 => Duplikacja prefix w pliku 
10.11.141.0/27 => Duplikacja prefix w pliku 
10.11.141.32/28 => Duplikacja prefix w pliku 
10.11.141.32/28 => Duplikacja prefix w pliku 
10.11.141.32/28 => Duplikacja prefix w pliku 
10.11.141.32/28 => Duplikacja prefix w pliku 
10.11.141.32/28 => Duplikacja prefix w pliku 
10.11.141.48/28 => Duplikacja prefix w pliku 
10.11.141.48/28 => Duplikacja prefix w pliku 
10.11.141.48/28 => Duplikacja prefix w pliku 
10.11.141.48/28 => Duplikacja prefix w pliku 
10.11.141.48/28 => Duplikacja prefix w pliku 
10.11.141.64/27 => Duplikacja prefix w pliku 
10.11.141.64/27 => Duplikacja prefix w pliku 
10.11.141.64/27 => Duplikacja prefix w pliku 
10.11.141.64/27 => Duplikacja prefix w pliku 
10.11.141.64/27 => Duplikacja prefix w pliku 
10.11.141.96/28 => Duplikacja prefix w pliku 
10.11.141.96/28 => Duplikacja prefix w pliku 
10.11.141.96/28 => Duplikacja prefix w pliku 
10.11.141.96/28 => Duplikacja prefix w pliku 
10.11.141.96/28 => Duplikacja prefix w pliku 
10.11.141.240/28 => Duplikacja prefix w pliku 
10.11.141.240/28 => Duplikacja prefix w pliku 
10.11.141.240/28 => Duplikacja prefix w pliku 
10.11.141.240/28 => Duplikacja prefix w pliku 
10.11.141.240/28 => Duplikacja prefix w pliku 
10.11.142.0/25 => Duplikacja prefix w pliku 
10.11.142.0/25 => Duplikacja prefix w pliku 
10.11.142.0/25 => Duplikacja prefix w pliku 
10.11.142.0/25 => Duplikacja prefix w pliku 
10.11.142.0/25 => Duplikacja prefix w pliku 
10.11.142.192/27 => Duplikacja prefix w pliku 
10.11.142.192/27 => Duplikacja prefix w pliku 
10.11.142.192/27 => Duplikacja prefix w pliku 
10.11.142.192/27 => Duplikacja prefix w pliku 
10.11.142.192/27 => Duplikacja prefix w pliku 
10.11.142.224/27 => Duplikacja prefix w pliku 
10.11.142.224/27 => Duplikacja prefix w pliku 
10.11.142.224/27 => Duplikacja prefix w pliku 
10.11.142.224/27 => Duplikacja prefix w pliku 
10.11.142.224/27 => Duplikacja prefix w pliku 
10.11.143.0/24 => Duplikacja prefix w pliku 
10.11.143.0/24 => Duplikacja prefix w pliku 
10.11.143.0/24 => Duplikacja prefix w pliku 
10.11.143.0/24 => Duplikacja prefix w pliku 
10.11.143.0/24 => Duplikacja prefix w pliku 
10.11.146.168/29 => Duplikacja prefix w pliku 
10.11.146.168/29 => Duplikacja prefix w pliku 
10.11.146.168/29 => Duplikacja prefix w pliku 
10.11.146.168/29 => Duplikacja prefix w pliku 
10.11.146.168/29 => Duplikacja prefix w pliku 
10.11.146.176/28 => Duplikacja prefix w pliku 
10.11.146.176/28 => Duplikacja prefix w pliku 
10.11.146.176/28 => Duplikacja prefix w pliku 
10.11.146.176/28 => Duplikacja prefix w pliku 
10.11.146.176/28 => Duplikacja prefix w pliku 
10.11.146.224/28 => Duplikacja prefix w pliku 
10.11.146.224/28 => Duplikacja prefix w pliku 
10.11.146.224/28 => Duplikacja prefix w pliku 
10.11.146.224/28 => Duplikacja prefix w pliku 
10.11.146.224/28 => Duplikacja prefix w pliku 
10.11.146.240/28 => Duplikacja prefix w pliku 
10.11.146.240/28 => Duplikacja prefix w pliku 
10.11.146.240/28 => Duplikacja prefix w pliku 
10.11.146.240/28 => Duplikacja prefix w pliku 
10.11.146.240/28 => Duplikacja prefix w pliku 
10.11.158.0/26 => Duplikacja prefix w pliku 
10.11.158.0/26 => Duplikacja prefix w pliku 
10.11.158.0/26 => Duplikacja prefix w pliku 
10.11.158.0/26 => Duplikacja prefix w pliku 
10.11.158.0/26 => Duplikacja prefix w pliku 
10.11.158.128/26 => Duplikacja prefix w pliku 
